element_type,element_id,country_u,country_v,bus_u,bus_v,voltage_kv,r_ohm,x_ohm,b_series_S,b_shunt_S,length_km,imax_A_used,smax_MVA,fmax_MW,eic_code,ne_name_old,source_sheet,row_index
tieline,CZ1-DE1,DE,CZ,DE,CZ,380.0,1.23,10.945,0.09136592051164916,0.0001748296,51.9,2520.0,1658.6118533279569,1658.6118533279569,10T-CZ-DE-00002U,Röhrsdorf - Hradec 445,Tielines_New,0
tieline,CZ2-DE2,DE,CZ,DE,CZ,380.0,1.23,10.945,0.09136592051164916,0.0001748296,51.9,2520.0,1658.6118533279569,1658.6118533279569,10T-CZ-DE-00003S,Röhrsdorf - Hradec 446,Tielines_New,1
tieline,DE1-PL1,DE,PL,DE,PL,380.0,0.35,3.49,0.28653295128939826,5.7176990000000004e-05,13.1,2520.0,1658.6118533279569,1658.6118533279569,10T-DE-PL-000039,Vierraden - Krajnik 507,Tielines_New,2
tieline,DE2-PL2,DE,PL,DE,PL,380.0,0.35,3.49,0.28653295128939826,5.7176990000000004e-05,13.1,2520.0,1658.6118533279569,1658.6118533279569,10T-DE-PL-000047,Vierraden - Krajnik 508,Tielines_New,3
tieline,DE3-PL3,DE,PL,DE,PL,380.0,0.233,2.53,0.3952569169960475,2.8714159999999997e-05,2.6,2520.0,1658.6118533279569,1658.6118533279569,10T-DE-PL-00002B,Hagenwerder - Mikulowa 567,Tielines_New,4
tieline,DE4-PL4,DE,PL,DE,PL,380.0,0.243,2.606,0.3837298541826554,2.981371e-05,2.4,2520.0,1658.6118533279569,1658.6118533279569,10T-DE-PL-00001D,Hagenwerder - Mikulowa 568,Tielines_New,5
tieline,BE1-DE1,DE,BE,DE,BE,380.0,0.005,0.05,20.0,4e-07,40.0,3600.0,2369.445504754224,2369.445504754224,22T201903146---W,Oberzier - Lixhe ALEGRO,Tielines_New,6
tieline,AT1-DE1,DE,AT,DE,WESTTIROL,380.0,1.275,10.67,0.09372071227741331,0.00017669999999999999,41.0,2400.0,1579.630336502816,1579.630336502816,10T-AT-DE-10007U,Leupolz - Westtirol FUESSN O,Tielines_New,7
tieline,AT2-DE2,DE,AT,DE,WESTTIROL,220.0,2.302,19.97,0.05007511266900351,0.00033939999999999996,79.0,1282.0,488.50760976672615,488.50760976672615,10T1001C--00037V,Voehringen - Westtirol FUESSN W,Tielines_New,8
tieline,AT3-DE3,DE,AT,DE,WERBEN,220.0,0.006,0.05,20.0,5e-07,0.0,1480.0,563.9557429444264,563.9557429444264,10T-AT-DE-00025Y,Y-Werben  (-Buers - Herbertingen - Tiengen) BLUDNZ W,Tielines_New,9
tieline,AT4-DE4,DE,AT,DE,WERBEN,220.0,0.01,0.059,16.949152542372882,4e-07,0.0,1540.0,586.8188136043356,586.8188136043356,10T-AT-DE-00026W,Y-Werben (-Buers - Voehringen) DELLM O,Tielines_New,10
tieline,DE1-FR1,DE,FR,DE,FR,220.0,0.925,4.067,0.24588148512417013,4.76e-05,13.0,843.0,321.22614277172397,321.22614277172397,10T-DE-FR-00004C,Ensdorf - St. Avold AVOLD,Tielines_New,11
tieline,DE2-FR2,DE,FR,DE,FR,380.0,0.365,5.13,0.19493177387914232,8.92e-05,20.0,2720.0,1790.2477147031916,1790.2477147031916,10T-DE-FR-00005A,Ensdorf - Vigy VIGY1 N,Tielines_New,12
tieline,DE3-FR3,DE,FR,DE,FR,380.0,0.365,5.13,0.19493177387914232,8.92e-05,20.0,2720.0,1790.2477147031916,1790.2477147031916,10T-DE-FR-000068,Ensdorf - Vigy VIGY2 S,Tielines_New,13
tieline,DE1-LU1,DE,LU,DE,LU,220.0,0.235,1.512,0.6613756613756614,1.95e-05,5.0,1290.0,491.55601918804734,491.55601918804734,10T-LU-DE-00001G,Bauler - Flebour FLE BA N,Tielines_New,14
tieline,DE2-LU2,DE,LU,DE,LU,220.0,0.235,1.512,0.6613756613756614,1.95e-05,5.0,1290.0,491.55601918804734,491.55601918804734,10T1001C--00096F,Bauler - Flebour FLE BA S,Tielines_New,15
tieline,DE3-LU3,DE,LU,DE,LU,220.0,1.15,5.425,0.18433179723502305,0.0001893,31.0,1290.0,491.55601918804734,491.55601918804734,10T1001C--00135V,Blooren - Niederstedem BLONST S,Tielines_New,16
tieline,DE4-LU4,DE,LU,DE,LU,220.0,1.416,7.3,0.136986301369863,9.77e-05,26.0,1290.0,491.55601918804734,491.55601918804734,10T-LU-DE-00003C,Heisdorf - Quint HEI QU N,Tielines_New,17
tieline,DE1-NL1,DE,NL,DE,NL,380.0,0.362,7.205,0.13879250520471895,0.0001536,32.0,3600.0,2369.445504754224,2369.445504754224,10T-DE-NL-00007J,Doetinchem - Niederrhein DOETM SW,Tielines_New,18
tieline,DE2-NL2,DE,NL,DE,NL,380.0,0.48,7.31,0.13679890560875513,0.000135,30.0,3600.0,2369.445504754224,2369.445504754224,10T1001C--000235,Doetinchem - Niederrhein DOETM WS,Tielines_New,19
tieline,DE3-NL3,DE,NL,DE,NL,380.0,0.303,2.907,0.3439972480220158,4.7399999999999993e-05,11.0,2720.0,1790.2477147031916,1790.2477147031916,10T-DE-NL-00004P,Gronau - Hengelo HENGL SW,Tielines_New,20
tieline,DE4-NL4,DE,NL,DE,NL,380.0,0.303,2.907,0.3439972480220158,4.7399999999999993e-05,11.0,2720.0,1790.2477147031916,1790.2477147031916,10T-DE-NL-00003R,Gronau - Hengelo HENGL WS,Tielines_New,21
tieline,DE5-NL5,DE,NL,DE,NL,380.0,0.72,6.96,0.14367816091954022,0.0001172,27.0,2720.0,1790.2477147031916,1790.2477147031916,10T-DE-NL-00005N,Maasbracht - Oberzier SELFK WS,Tielines_New,22
tieline,DE6-NL6,DE,NL,DE,NL,380.0,0.495,4.935,0.2026342451874367,8.159999999999999e-05,19.0,2720.0,1790.2477147031916,1790.2477147031916,10T-DE-NL-00006L,Maasbracht - Siersdorf SELFK SW,Tielines_New,23
tieline,CH1-DE1,DE,CH,DE,CH,220.0,0.245,1.91,0.5235602094240838,1.6199999999999997e-05,5.0,1093.0,416.4889371880122,416.4889371880122,10T-CH-DE-000034,Beznau - Tiengen AARE O,Tielines_New,24
